anno,IstatComune,Regione,Provincia,Comune,Popolazione,Dato riferito a,Frazione umida(1) (t),Verde (t), Carta e cartone (t),Vetro (t),Legno (t),Metallo (t),Plastica (t),RAEE (t),Tessili (t),Selettiva (t),Rifiuti da C e D (t),Pulizia stradale a recupero (t),Ingombranti misti a recupero (t),Altro (t),Totale RD (t),Ingombranti a smaltimento (t),Indifferenziato (t),Totale RU (t),Percentuale RD (%)
2010,082023,Sicilia,Palermo,CASTELDACCIA,11233,Comune,-,-,20,790,5,110,11,900,7,970,11,50,44,955,-,-,-,-,-,3,980,105,755,189,930,4854,890,5150,575,2,"5,00%",,,,,
2010,082024,Sicilia,Palermo,CASTELLANA SICULA,3612,Comune,-,27,420,63,390,50,250,-,3,20,36,380,11,180,4,470,0,670,-,-,-,0,420,197,200,17,480,1229,15,1443,695,13,"66,00%",,,
2010,082025,Sicilia,Palermo,CASTRONUOVO DI SICILIA,3213,Comune,-,-,28,390,5,590,-,-,6,800,13,740,-,0,100,-,-,-,5,460,60,80,44,320,903,410,1007,810,5,"96,00%",,,,,,
2010,082026,Sicilia,Palermo,CEFALA' DIANA,1014,Comune,-,-,-,-,-,-,-,3,400,-,-,-,-,-,1,100,4,500,2,400,433,760,440,660,1,"2,00%",,,,,,,,,,
2010,082027,Sicilia,Palermo,CEFALU',13807,Comune,193,920,11,210,501,800,411,180,32,770,7,305,59,140,62,49,-,0,551,-,-,-,2,620,1282,545,153,20,8010,843,9446,408,13,"58,00%",,
2010,082028,Sicilia,Palermo,CERDA,5369,Comune,-,-,46,160,18,20,3,640,0,526,1,760,6,180,-,0,105,-,-,-,1,940,78,331,25,960,2217,629,2321,920,3,"37,00%",,,,
2010,082029,Sicilia,Palermo,CHIUSA SCLAFANI,2994,Comune,-,-,52,230,10,596,15,520,25,150,18,730,20,178,0,280,0,80,-,-,-,-,142,764,-,971,490,1114,254,12,"81,00%",,,,,
2010,082030,Sicilia,Palermo,CIMINNA,3877,Comune,-,-,-,-,-,-,-,6,880,-,5,840,-,-,-,-,12,720,68,140,1214,470,1295,330,0,"98,00%",,,,,,,,,,
2010,082031,Sicilia,Palermo,CINISI,12047,Comune,161,10,-,193,950,-,-,9,100,-,-,-,-,-,-,-,-,364,60,-,6108,980,6473,40,5,"62,00%",,,,,,,,,,
2010,082032,Sicilia,Palermo,COLLESANO,4118,Comune,39,0,-,29,770,36,50,1,400,2,880,4,220,9,440,-,0,157,-,-,-,-,122,917,34,200,1613,29,1770,147,6,"94,00%",,,,
2010,082033,Sicilia,Palermo,CONTESSA ENTELLINA,1917,Comune,-,-,10,800,10,599,2,280,9,753,4,40,10,186,0,300,0,115,-,-,-,-,48,73,-,618,180,666,253,7,"22,00%",,,,,
